Beta(deg) | Alpha(deg) | Depth(mm) | Height(mm) | Hardness(MPa) | Speed(km/h) | SlopeX(deg) | SlopeY(deg) | Timestamp
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:56.844
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:57.096
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:57.349
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:57.601
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:57.854
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:58.106
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:58.358
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:58.610
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:58.863
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:59.116
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:59.368
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:59.621
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 13:59:59.873
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:00.126
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:00.378
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:00.630
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:00.885
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:01.138
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:01.390
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:01.641
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:01.894
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:02.147
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:02.400
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:02.652
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:02.905
0.099 | 0.082 | -150.00 | 0.00 | 2026-05-04 14:00:03.157
0.099 | 0.082 | -150.00 | 0.00 | 2026-05-04 14:00:03.409
0.099 | 0.082 | -150.00 | 0.00 | 2026-05-04 14:00:03.662
0.099 | 0.082 | -150.00 | 0.00 | 2026-05-04 14:00:03.914
0.099 | 0.082 | -150.00 | 0.00 | 2026-05-04 14:00:04.166
0.099 | 0.082 | -150.00 | 0.00 | 2026-05-04 14:00:04.418
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:04.670
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:04.922
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:05.174
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:05.426
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:05.678
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:05.930
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:06.183
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:06.435
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:06.687
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:06.939
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:07.191
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:07.443
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:07.695
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:07.947
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:08.199
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:08.451
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:08.704
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:08.956
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:09.208
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:09.460
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:09.712
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:09.964
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:10.216
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:10.468
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:10.720
0.099 | 0.082 | -150.00 | 0.00 | 2026-05-04 14:00:10.973
0.099 | 0.082 | -150.00 | 0.00 | 2026-05-04 14:00:11.225
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:11.478
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:11.730
0.099 | 0.088 | -150.00 | 0.00 | 2026-05-04 14:00:11.983
