Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_mm,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-05-20 18:44:04.269,0.714,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:44:05.270,0.714,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:44:06.271,0.709,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:44:07.272,0.709,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:44:08.273,0.709,-0.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:44:09.274,0.709,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:44:10.275,0.709,-0.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:44:11.277,0.709,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
