Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,DepthError_mm
2026-05-08 17:15:16.923,-0.269,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:17.924,-0.269,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:18.925,-0.269,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:19.926,-0.264,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:20.927,-0.264,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:21.927,-0.264,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:22.928,-0.264,0.033,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:23.929,-0.269,0.033,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:24.932,-0.264,0.033,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:25.933,-0.253,0.033,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:26.934,-0.264,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:27.934,-0.258,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:28.935,-0.231,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:29.936,-0.247,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:30.937,-0.264,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:31.939,-0.275,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:32.939,-0.302,0.016,-3.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:33.941,-0.286,0.022,-3.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:34.941,-0.258,0.016,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:35.941,-0.247,0.016,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:36.943,-0.258,0.011,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:37.943,-0.203,0.005,-5.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:38.944,-0.203,0.011,-5.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:39.945,-0.214,0.016,-5.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:40.946,-0.275,0.016,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:41.947,-0.275,0.016,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:42.949,-0.214,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:43.949,-0.225,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:44.950,-0.220,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:45.950,-0.242,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:46.951,-0.258,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:47.952,-0.225,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:48.954,-0.231,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:49.954,-0.258,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:50.955,-0.264,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:51.956,-0.258,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:52.957,-0.269,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:53.958,-0.286,0.027,-3.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:54.959,-0.236,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:55.961,-0.264,0.027,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:56.961,-0.269,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:57.963,-0.275,0.022,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:15:58.963,-0.275,0.022,-4.00,NaN,NaN,-1,-1,NaN
