Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 15:58:21.859,-0.209,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:22.859,-0.203,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:23.860,-0.214,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:24.861,-0.198,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:25.862,-0.203,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:26.863,-0.203,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:27.864,-0.203,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:28.867,-0.214,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:29.868,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:30.868,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:31.869,-0.220,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:32.870,-0.209,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:33.871,-0.214,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:34.872,-0.203,0.044,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:35.872,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:36.873,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:37.874,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:38.875,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:39.876,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:40.876,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:41.877,-0.236,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:42.879,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:43.879,-0.242,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:44.880,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:45.882,-0.242,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:46.883,-0.236,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:47.884,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:48.885,-0.236,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:49.886,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:50.887,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:51.888,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:52.888,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:53.889,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:54.890,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:55.891,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:56.892,-0.253,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:57.893,-0.247,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:58.894,-0.242,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:58:59.895,-0.247,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:00.896,-0.247,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:01.896,-0.242,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:02.897,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:03.898,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:04.899,-0.220,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:05.901,-0.231,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:06.901,-0.225,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:07.902,-0.231,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:08.903,-0.242,0.033,-149.00,0.00,-1.00,-1,-1,0.00
