Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,DepthError_mm
2026-05-14 16:27:27.599,0.868,2.324,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:28.600,0.868,2.324,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:29.601,0.868,2.296,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:30.602,0.868,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:31.603,0.873,2.302,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:32.604,0.868,2.307,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:33.605,0.868,2.313,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:34.606,0.868,2.329,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:35.609,0.868,2.318,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:36.609,0.868,2.324,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:37.610,0.862,2.329,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:38.611,0.868,2.324,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:39.612,0.868,2.324,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:40.613,0.868,2.318,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:41.614,0.868,2.313,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:42.614,0.873,2.318,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:43.615,0.868,2.313,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:44.616,0.868,2.318,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:45.617,0.868,2.313,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:46.618,0.868,2.318,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:47.618,0.868,2.313,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:48.619,0.868,2.318,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:49.621,0.868,2.318,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:50.622,0.868,2.318,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:51.622,0.873,2.313,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:52.624,0.868,2.318,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:53.624,0.868,2.307,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:54.625,0.862,2.302,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:55.626,0.862,2.302,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:56.627,0.857,2.302,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:57.629,0.851,2.296,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:58.629,0.851,2.296,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:27:59.630,0.851,2.302,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:00.631,0.851,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:01.632,0.857,2.307,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:02.633,0.857,2.302,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:03.635,0.857,2.302,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:04.636,0.857,2.302,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:05.637,0.862,2.313,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:06.638,0.835,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:07.639,0.835,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:08.640,0.829,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:09.640,0.829,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:10.642,0.824,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:11.643,0.829,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:12.645,0.824,2.285,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:13.646,0.824,2.285,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:14.646,0.818,2.274,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:15.647,0.824,2.285,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:16.648,0.824,2.280,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:17.648,0.824,2.296,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:18.650,0.818,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:19.650,0.813,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:20.652,0.813,2.280,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:21.653,0.840,2.324,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:22.654,0.840,2.313,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:23.655,0.846,2.302,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:24.656,0.846,2.296,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:25.657,0.851,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:26.658,0.857,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:27.660,0.857,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:28.661,0.862,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:29.662,0.862,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:30.663,0.862,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:31.664,0.862,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:32.666,0.862,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:33.666,0.868,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:34.668,0.862,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:35.669,0.862,2.291,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:36.670,0.857,2.296,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:37.671,0.840,2.285,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:38.672,0.840,2.274,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:39.674,0.840,2.274,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:40.675,0.846,2.274,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:41.676,0.829,2.258,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:42.678,0.818,2.258,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:43.679,0.813,2.252,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:44.680,0.813,2.252,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:45.681,0.846,2.219,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:46.682,0.862,2.219,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:47.683,0.868,2.214,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:48.684,0.873,2.219,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:49.685,0.879,2.214,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:50.686,0.879,2.214,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:51.687,0.884,2.214,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:52.688,0.884,2.214,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:53.690,0.890,2.214,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:54.691,0.890,2.219,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:55.692,0.895,2.219,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:56.694,0.901,2.219,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:57.695,0.906,2.230,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:58.696,0.901,2.230,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:28:59.697,0.901,2.236,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:29:00.698,0.906,2.241,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:29:01.699,0.901,2.236,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:29:02.700,0.895,2.230,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:29:03.702,0.857,2.214,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:29:04.704,0.851,2.214,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:29:05.705,0.835,2.197,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:29:06.706,0.851,2.219,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:29:07.707,0.862,2.214,0.00,NaN,NaN,-1,-1,NaN
