Timestamp,Beta(deg),Alpha(deg),Depth_mm,Stability_percentPredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_percent,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-06-05 16:36:53.700,-4.675,0.626,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:36:54.802,-4.675,0.626,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:36:55.802,-4.675,0.626,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:36:56.803,-4.675,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:36:57.804,-4.680,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:36:58.805,-4.680,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:36:59.909,-4.680,0.626,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:00.910,-4.686,0.615,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:01.911,-4.680,0.615,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:02.912,-4.680,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:03.913,-4.691,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:05.015,-4.680,0.626,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:06.016,-4.680,0.626,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:07.017,-4.675,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:08.018,-4.686,0.604,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:09.019,-4.697,0.604,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:10.120,-4.691,0.588,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:11.121,-4.691,0.593,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:12.122,-4.680,0.610,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:13.123,-4.680,0.615,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:14.124,-4.680,0.615,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:15.226,-4.680,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:16.226,-4.675,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:17.228,-4.680,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:18.228,-4.675,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:19.229,-4.680,0.615,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:20.331,-4.686,0.621,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:21.332,-3.829,0.615,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:22.333,-13.535,0.626,125.00,100NaN,6.00,-1,-1.0,NaN,2.50,312.50
2026-06-05 16:37:23.334,15.491,0.544,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:24.335,29.526,0.538,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:37:25.437,30.174,0.522,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
