Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 16:49:50.128,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:49:51.129,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:49:52.130,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:49:53.131,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:49:54.132,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:49:55.133,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:49:56.134,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:49:57.135,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:49:58.136,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:49:59.137,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:00.138,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:01.139,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:02.139,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:03.140,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:04.141,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:05.142,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:06.143,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:07.145,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:08.146,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:09.147,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:10.148,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:11.149,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:12.150,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:13.151,0.005,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:14.152,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:15.153,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:16.154,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:17.156,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:18.157,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:19.158,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:20.159,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:21.161,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:22.162,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:23.164,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:24.165,0.005,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:25.166,0.005,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:26.167,0.005,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:27.168,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:28.169,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:29.170,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:30.172,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:31.173,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:32.174,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:33.176,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:34.177,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:35.178,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:36.180,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:37.181,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:38.182,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:39.183,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:40.184,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:41.185,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:42.186,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:43.187,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:44.187,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:45.188,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:46.189,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:47.190,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:48.190,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:49.191,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:50.192,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:51.192,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:52.193,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:53.194,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:54.196,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:55.197,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:56.198,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:57.200,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:58.201,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:50:59.203,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:00.204,0.000,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:01.206,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:02.207,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:03.207,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:04.208,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:05.209,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:06.209,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:07.210,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:08.211,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:09.212,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:10.213,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:11.214,0.005,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:12.215,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:13.215,0.005,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:14.216,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:15.217,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:16.219,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:17.220,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:18.221,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:19.222,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:20.223,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:21.223,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:22.224,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:23.225,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:24.226,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:25.227,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:26.227,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:27.228,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:28.229,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:29.231,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:30.231,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:31.232,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:32.233,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:33.233,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:34.234,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:35.235,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:36.236,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:37.237,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:38.237,0.000,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:39.239,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:40.240,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:51:41.241,0.005,0.027,-150.00,0.00,-1.00,-1,-1,0.00
