Timestamp,Beta(deg),Alpha(deg),Depth_mm,Stability_percentPredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_percent,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-06-05 16:53:34.320,43.577,0.566,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:35.321,43.577,0.566,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:36.322,43.572,0.566,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:37.323,43.572,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:38.324,43.566,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:39.325,43.566,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:40.327,43.566,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:41.328,43.566,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:42.329,43.566,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:43.329,43.566,0.549,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:44.330,43.566,0.549,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:45.331,43.561,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:46.332,43.561,0.560,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:47.333,43.572,0.566,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:48.333,43.572,0.566,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:49.335,43.572,0.566,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:50.336,43.561,0.560,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:51.337,43.561,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:52.338,43.561,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:53.339,43.561,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:54.340,43.561,0.555,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:55.340,43.561,0.549,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:56.341,43.555,0.549,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:57.341,43.555,0.549,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:58.343,43.555,0.549,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:53:59.344,43.561,0.549,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
