Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,DepthError_mm
2026-05-10 16:03:55.917,1.599,0.346,0.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:03:56.919,1.599,0.341,0.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:03:57.919,1.577,0.500,2.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:03:58.920,1.538,27.543,383.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:03:59.922,1.533,23.637,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:00.923,1.549,23.719,330.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:01.924,1.533,23.780,331.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:02.924,1.533,23.780,331.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:03.927,1.522,23.774,331.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:04.927,1.522,23.813,332.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:05.928,1.522,23.780,331.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:06.929,1.522,23.813,332.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:07.930,1.516,23.807,332.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:08.931,1.516,23.818,332.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:09.932,1.522,23.802,331.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:10.932,1.522,23.796,331.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:11.933,1.516,23.741,331.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:12.933,1.516,23.725,330.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:13.934,1.516,23.708,330.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:14.935,1.516,23.676,330.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:15.936,1.516,23.654,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:16.937,1.516,23.637,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:17.938,1.516,23.615,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:18.939,1.511,23.599,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:19.940,1.505,23.588,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:20.940,1.500,23.582,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:21.941,1.500,23.599,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:22.943,1.500,23.593,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:23.944,1.500,23.588,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:24.944,1.500,23.582,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:25.945,1.500,23.571,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:26.946,1.500,23.571,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:27.946,1.500,23.571,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:28.947,1.500,23.582,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:29.948,1.500,23.593,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:30.949,1.500,23.593,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:31.950,1.505,23.615,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:32.950,1.500,23.582,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:33.951,1.500,23.577,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:34.952,1.500,23.604,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:35.953,1.500,23.610,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:36.956,1.500,23.610,329.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:37.957,1.500,23.566,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:38.958,1.500,23.566,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:39.959,1.500,23.560,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:40.960,1.489,23.538,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:41.961,1.489,23.533,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:42.962,1.494,23.533,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:43.963,1.494,23.527,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:44.964,1.483,23.533,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:45.965,1.478,23.533,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:46.966,1.478,23.522,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:47.966,1.478,23.522,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:48.967,1.478,23.522,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:49.968,1.478,23.522,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:50.969,1.478,23.527,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:51.970,1.489,23.555,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:52.971,1.489,23.555,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:53.971,1.494,23.533,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:54.972,1.494,23.527,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:55.973,1.494,23.511,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:56.974,1.494,23.516,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:57.975,1.494,23.516,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:58.976,1.494,23.505,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:04:59.977,1.500,23.516,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:00.979,1.494,23.511,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:01.980,1.500,23.511,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:02.981,1.500,23.516,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:03.982,1.500,23.555,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:04.983,1.500,23.533,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:05.984,1.500,23.555,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:06.984,1.500,23.516,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:07.985,1.500,23.516,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:08.986,1.489,23.511,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:09.987,1.489,23.505,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:10.988,1.483,23.505,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:11.989,1.483,23.505,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:12.990,1.483,23.505,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:13.991,1.483,23.505,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:14.992,1.494,23.522,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:15.992,1.500,23.527,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:16.993,1.489,23.511,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:17.995,1.489,23.511,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:18.995,1.489,23.505,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:19.996,1.489,23.505,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:20.997,1.489,23.500,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:21.998,1.489,23.500,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:22.999,1.489,23.500,328.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:23.999,1.489,23.384,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:25.000,1.483,23.390,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:26.001,1.489,23.379,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:27.002,1.494,23.384,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:28.003,1.505,23.390,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:29.004,1.511,23.401,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:30.004,1.500,23.423,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:31.005,1.505,23.406,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:32.006,1.511,23.412,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:33.008,1.516,23.373,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:34.008,1.516,23.417,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:35.009,1.516,23.390,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:36.010,1.516,23.395,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:37.012,1.522,23.423,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:38.013,1.516,23.428,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:39.013,1.516,23.434,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:40.014,1.516,23.417,326.00,NaN,NaN,-1,-1,NaN
2026-05-10 16:05:41.015,1.505,23.390,326.00,NaN,NaN,-1,-1,NaN
