Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,DepthError_mm
2026-05-14 16:20:11.494,0.742,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:12.495,0.742,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:13.496,0.742,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:14.497,0.742,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:15.499,0.736,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:16.499,0.736,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:17.500,0.736,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:18.501,0.736,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:19.504,0.736,2.428,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:20.504,0.742,2.433,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:21.506,0.742,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:22.507,0.742,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:23.508,0.742,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:24.509,0.736,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:25.510,0.736,2.450,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:26.511,0.731,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:27.512,0.731,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:28.512,0.731,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:29.513,0.731,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:30.513,0.725,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:31.515,0.731,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:32.516,0.731,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:33.516,0.731,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:34.517,0.736,2.444,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:35.517,0.736,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:36.518,0.736,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:37.519,0.731,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:38.521,0.736,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:39.521,0.747,2.439,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:40.522,0.758,2.455,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:41.522,0.747,2.411,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:42.524,0.747,2.417,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:43.525,0.742,2.422,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:44.526,0.736,2.422,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:45.527,0.736,2.417,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:20:46.528,0.736,2.417,0.00,NaN,NaN,-1,-1,NaN
