Timestamp,UpdateIdx,ActualDepth_mm,PredDepth_mm,Error_mm
2026-06-05 16:50:53.285,56,0.00,72.49,-72.49
2026-06-05 16:50:57.305,57,0.00,0.00,0.00
2026-06-05 16:50:59.306,58,0.00,0.00,0.00
2026-06-05 16:51:00.308,59,0.00,0.00,0.00
2026-06-05 16:51:06.315,60,0.00,0.00,0.00
2026-06-05 16:51:07.316,61,0.00,0.00,0.00
2026-06-05 16:51:08.317,62,0.00,0.00,-0.00
2026-06-05 16:51:09.319,63,0.00,0.00,-0.00
2026-06-05 16:51:10.320,64,0.00,0.00,0.00
2026-06-05 16:51:11.321,65,0.00,0.00,-0.00
2026-06-05 16:51:12.323,66,0.00,0.00,0.00
2026-06-05 16:51:13.324,67,0.00,0.00,0.00
2026-06-05 16:51:14.325,68,0.00,0.00,0.00
2026-06-05 16:51:15.327,69,0.00,0.00,-0.00
2026-06-05 16:51:16.329,70,0.00,0.00,-0.00
2026-06-05 16:51:18.331,71,0.00,0.00,-0.00
2026-06-05 16:51:20.333,72,0.00,0.00,-0.00
2026-06-05 16:51:21.335,73,0.00,0.00,-0.00
2026-06-05 16:51:22.336,74,0.00,0.00,-0.00
2026-06-05 16:51:24.339,75,0.00,0.00,0.00
2026-06-05 16:51:25.340,76,0.00,0.00,-0.00
2026-06-05 16:51:26.345,77,0.00,0.00,0.00
2026-06-05 16:51:27.346,78,0.00,0.00,0.00
2026-06-05 16:51:28.347,79,0.00,0.00,0.00
2026-06-05 16:51:29.348,80,0.00,0.00,0.00
2026-06-05 16:51:30.349,81,0.00,0.00,0.00
2026-06-05 16:51:32.352,82,0.00,0.00,0.00
2026-06-05 16:51:33.353,83,0.00,0.00,0.00
2026-06-05 16:51:34.354,84,0.00,0.00,-0.00
2026-06-05 16:51:35.356,85,0.00,0.00,-0.00
2026-06-05 16:51:36.357,86,0.00,0.00,-0.00
2026-06-05 16:51:37.358,87,0.00,0.00,0.00
2026-06-05 16:51:38.359,88,0.00,0.00,-0.00
2026-06-05 16:51:39.361,89,0.00,0.00,0.00
2026-06-05 16:51:40.363,90,0.00,0.00,0.00
2026-06-05 16:51:41.364,91,0.00,0.00,0.00
2026-06-05 16:51:42.365,92,0.00,0.00,0.00
2026-06-05 16:51:43.367,93,0.00,0.00,0.00
2026-06-05 16:51:44.368,94,0.00,0.00,0.00
2026-06-05 16:51:46.370,95,0.00,0.00,0.00
2026-06-05 16:52:10.389,96,0.00,0.01,-0.01
2026-06-05 16:52:11.405,97,0.00,0.00,-0.00
2026-06-05 16:52:12.407,98,0.00,0.00,-0.00
2026-06-05 16:52:13.408,99,0.00,0.00,-0.00
2026-06-05 16:52:14.409,100,0.00,0.00,-0.00
