Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_mm,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-05-19 13:07:45.600,0.555,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:46.602,0.555,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:47.603,0.560,1.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:48.603,0.560,1.582,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:49.605,0.566,1.582,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:50.605,0.566,1.582,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:51.608,0.566,1.588,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:52.609,0.560,1.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:53.610,0.555,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:54.611,0.560,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:55.612,0.555,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:56.613,0.560,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:57.613,0.560,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:58.614,0.560,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:07:59.615,0.566,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:08:00.616,0.566,1.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:08:01.617,0.566,1.582,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:08:02.618,0.566,1.566,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:08:03.619,0.566,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:08:04.620,0.560,1.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:08:05.620,0.560,1.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:08:06.621,0.560,1.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:08:07.622,0.560,1.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 13:08:08.627,0.560,1.571,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:09.628,0.555,1.571,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:10.629,0.560,1.577,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:11.630,0.571,1.588,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:12.631,0.577,1.593,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:13.632,0.577,1.599,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:14.632,0.577,1.599,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:15.633,0.577,1.604,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:16.634,0.582,1.604,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:17.635,0.582,1.604,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:18.636,0.582,1.604,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:19.637,0.582,1.604,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:20.637,0.577,1.604,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:21.638,0.582,1.604,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:22.639,0.582,1.604,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:23.640,0.577,1.593,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:24.641,0.571,1.582,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:25.642,0.577,1.593,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:26.643,0.577,1.593,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:27.643,0.577,1.599,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:28.644,0.577,1.599,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:29.645,0.582,1.599,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:30.645,0.577,1.577,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:31.647,0.571,1.577,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:32.648,0.566,1.577,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:33.648,0.566,1.582,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:34.649,0.566,1.582,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-19 13:08:35.650,0.560,1.582,0.00,0.0,1.00,-1,-1,0.0,2.50,0.00
