Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 17:06:58.024,0.011,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:06:59.025,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:00.026,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:01.027,0.011,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:02.028,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:03.029,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:04.029,0.005,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:05.032,0.005,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:06.032,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:07.034,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:08.035,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:09.036,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:10.038,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:11.039,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:12.040,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:13.041,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:14.042,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:15.043,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:16.043,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:17.044,0.000,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:18.046,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:19.047,0.011,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:20.048,0.011,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:21.049,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:22.050,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:23.051,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:24.053,0.011,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:25.054,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:26.056,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:27.057,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:28.058,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:29.060,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:07:30.061,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
