Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 17:01:01.632,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:02.633,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:03.635,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:04.636,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:05.637,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:06.637,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:07.638,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:08.641,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:09.642,0.011,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:10.643,0.011,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:11.644,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:12.644,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:13.646,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:14.646,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:15.647,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:16.648,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:17.649,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:18.650,0.005,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:19.651,0.005,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:20.653,0.005,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:21.654,0.005,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:22.655,0.005,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:23.656,0.000,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:24.657,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:25.658,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:26.659,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:27.660,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:28.661,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:29.662,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:30.663,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:31.664,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:32.664,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:33.665,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:34.666,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:35.667,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:36.667,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:37.669,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:01:38.669,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
