Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_mm,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-05-20 18:41:00.452,0.720,-0.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:41:01.452,0.720,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:41:02.454,0.714,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:41:03.455,0.720,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:41:04.456,0.714,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:41:05.457,0.714,-0.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:41:06.459,0.714,-0.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:41:07.459,0.720,-0.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:41:08.460,0.714,-0.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:41:09.461,0.714,-0.571,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
