Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 17:09:07.777,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:08.779,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:09.780,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:10.780,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:11.782,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:12.783,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:13.783,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:14.786,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:15.787,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:16.787,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:17.789,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:18.789,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:19.790,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:20.792,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:21.793,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:22.794,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:23.796,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:24.797,0.005,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:25.797,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:26.798,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:27.799,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:28.801,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:29.802,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:30.803,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:31.805,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:32.806,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:33.807,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:34.808,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:35.809,0.011,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:09:36.810,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
