Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,DepthError_mm
2026-05-08 17:08:36.884,-0.297,0.033,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:37.885,-0.308,0.033,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:38.886,-0.313,0.033,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:39.887,-0.308,0.038,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:40.888,-0.313,0.038,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:41.890,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:42.891,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:43.892,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:44.895,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:45.896,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:46.897,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:47.898,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:48.898,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:49.899,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:50.900,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:51.901,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:52.902,-0.319,0.038,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:53.903,-0.319,0.038,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:54.904,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:55.905,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:56.907,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:57.908,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:58.909,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:08:59.911,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:09:00.912,-0.324,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:09:01.913,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:09:02.913,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
2026-05-08 17:09:03.915,-0.319,0.044,-4.00,NaN,NaN,-1,-1,NaN
