Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 15:50:10.399,-0.214,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:11.401,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:12.402,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:13.403,-0.214,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:14.404,-0.220,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:15.405,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:16.406,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:17.409,-0.236,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:18.410,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:19.411,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:20.412,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:21.413,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:22.414,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:23.415,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:24.416,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:25.416,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:26.417,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:27.418,-0.209,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:28.420,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:29.420,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:30.421,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:31.422,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:32.423,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:33.425,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:34.426,-0.236,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:35.427,-0.236,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:36.429,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:37.430,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:38.431,-0.236,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:39.432,-0.236,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:40.433,-0.236,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:41.434,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:42.436,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:43.437,-0.236,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:44.439,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:45.440,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:46.441,-0.236,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:47.442,-0.236,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:48.444,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:49.445,-0.236,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:50.446,-0.242,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:51.448,-0.242,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:52.449,-0.236,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:53.451,-0.242,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:54.452,-0.242,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:55.454,-0.236,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:56.456,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:57.456,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:58.458,-0.214,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:50:59.459,-0.220,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:51:00.461,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:51:01.462,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
