Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 15:59:12.949,-0.225,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:13.950,-0.242,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:14.951,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:15.952,-0.225,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:16.952,-0.214,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:17.954,-0.209,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:18.955,-0.209,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:19.958,-0.214,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:20.958,-0.220,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:21.960,-0.214,0.044,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:22.960,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:23.961,-0.225,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:24.963,-0.225,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:25.964,-0.214,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:26.965,-0.214,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:27.966,-0.231,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:28.968,-0.225,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:29.969,-0.225,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:30.970,-0.220,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:59:31.971,-0.225,0.038,-150.00,0.00,-1.00,-1,-1,0.00
