Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 15:56:46.346,-0.203,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:47.348,-0.198,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:48.348,-0.198,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:49.350,-0.198,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:50.351,-0.181,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:51.352,-0.192,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:52.353,-0.192,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:53.353,-0.203,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:54.354,-0.192,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:55.355,-0.198,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:56.355,-0.187,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:57.357,-0.192,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:58.358,-0.198,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:56:59.359,-0.198,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:00.361,-0.192,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:01.362,-0.192,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:02.364,-0.192,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:03.365,-0.159,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:04.366,-0.187,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:05.368,-0.187,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:06.369,-0.187,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:07.370,-0.192,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:08.370,-0.209,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:09.371,-0.209,0.033,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:10.372,-0.209,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:11.372,-0.203,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:12.373,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:13.374,-0.242,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:14.375,-0.247,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 15:57:15.376,-0.236,0.044,-149.00,0.00,-1.00,-1,-1,0.00
