Timestamp,Beta(deg),Alpha(deg),Depth_mm,Stability_percentPredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_percent,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-06-05 16:59:49.877,0.879,0.615,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:50.878,0.873,0.610,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:51.879,0.879,0.610,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:52.879,0.862,0.604,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:53.880,0.857,0.599,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:54.883,0.884,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:55.884,0.884,0.626,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:56.885,0.884,0.626,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:57.886,0.890,0.632,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:58.887,0.890,0.637,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 16:59:59.888,0.890,0.637,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:00.888,0.884,0.637,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:01.889,0.879,0.637,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:02.890,0.879,0.632,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:03.891,0.879,0.632,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:04.892,0.879,0.632,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:05.893,0.879,0.632,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:06.894,0.879,0.632,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:07.894,0.857,0.604,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:08.895,0.862,0.610,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:09.896,0.862,0.615,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:10.897,0.862,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:11.898,0.862,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:12.898,0.862,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:13.899,0.862,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:14.900,0.868,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:15.900,0.868,0.626,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:16.905,0.868,0.626,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:17.905,0.868,0.626,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:18.906,0.868,0.626,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:19.907,0.868,0.626,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:20.908,0.873,0.648,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:21.909,0.868,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:22.909,0.862,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:23.910,0.857,0.615,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:24.911,0.857,0.615,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:25.912,0.857,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:26.913,0.857,0.621,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:27.914,0.851,0.610,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:28.915,0.846,0.599,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:29.916,0.824,0.588,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:30.917,0.824,0.582,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:31.918,0.829,0.582,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:32.919,0.824,0.588,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:33.920,0.824,0.588,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
2026-06-05 17:00:34.921,0.840,0.593,0.00,10069.7,6.00,-1,-1.0,-69.7,2.50,0.00
