Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_mm,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-05-22 15:19:11.450,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:12.451,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:13.452,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:14.454,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:15.455,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:16.457,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:17.459,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:18.460,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:19.462,0.588,0.500,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:20.463,0.588,0.500,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:21.464,0.593,0.500,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:22.465,0.593,0.500,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:23.466,0.588,0.500,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:24.467,0.588,0.500,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:25.468,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:26.470,0.588,0.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-22 15:19:27.471,0.588,0.500,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
