Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_mm,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-05-20 19:18:17.519,0.698,-0.560,0.00,21.0,6.00,-1,-1,-21.0,2.50,0.00
2026-05-20 19:18:18.520,0.692,-0.560,0.00,21.0,6.00,-1,-1,-21.0,2.50,0.00
2026-05-20 19:18:19.521,0.698,-0.560,0.00,21.0,6.00,-1,-1,-21.0,2.50,0.00
2026-05-20 19:18:20.522,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:21.523,0.698,-0.566,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:22.525,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:23.528,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:24.530,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:25.530,0.703,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:26.532,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:27.533,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:28.534,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:29.535,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:30.536,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:31.539,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:32.540,0.698,-0.560,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:33.541,0.692,-0.555,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:34.542,0.698,-0.544,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:35.542,0.692,-0.549,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:36.544,0.703,-0.544,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:37.545,0.703,-0.544,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:38.546,0.703,-0.549,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:39.547,0.698,-0.555,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:40.547,0.698,-0.549,0.00,0.0,6.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:41.548,0.698,-0.555,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:42.549,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:43.550,0.692,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:44.551,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:45.552,0.698,-0.566,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:46.553,0.698,-0.555,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:47.554,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:48.555,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:49.556,0.698,-0.566,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:50.556,0.698,-0.566,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:51.557,0.698,-0.566,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:52.557,0.698,-0.566,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:53.559,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:54.559,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:55.561,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:56.561,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:57.563,0.698,-0.555,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:58.564,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:18:59.565,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:19:00.566,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:19:01.568,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:19:02.569,0.692,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:19:03.570,0.698,-0.560,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:19:04.571,0.698,-0.555,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
2026-05-20 19:19:05.572,0.698,-0.555,0.00,0.0,1.00,-1,-1,-0.0,2.50,0.00
