Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 16:58:30.589,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:31.590,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:32.591,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:33.592,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:34.593,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:35.594,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:36.595,0.000,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:37.598,0.000,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:38.598,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:39.599,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:40.600,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:41.601,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:42.602,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:43.603,0.011,0.027,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:44.604,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:45.605,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:46.606,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:47.607,0.000,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:48.608,0.000,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:49.609,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:50.610,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:51.611,0.000,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:52.613,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:53.614,0.000,0.027,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:54.614,0.000,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:55.615,0.005,0.022,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:56.617,0.000,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:58:57.618,0.000,0.016,-150.00,0.00,-1.00,-1,-1,0.00
