Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 16:00:58.319,-0.203,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:00:59.320,-0.203,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:00.321,-0.198,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:01.321,-0.192,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:02.322,-0.192,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:03.323,-0.192,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:04.324,-0.187,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:05.326,-0.198,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:06.327,-0.203,0.038,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:07.329,-0.198,0.033,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:08.330,-0.209,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:09.332,-0.209,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:10.332,-0.220,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:11.333,-0.209,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:12.333,-0.214,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:13.334,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:14.335,-0.209,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:15.336,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:16.337,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:17.337,-0.209,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:18.338,-0.209,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:19.339,-0.203,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:20.340,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:21.341,-0.225,0.038,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:22.342,-0.225,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:23.343,-0.220,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:24.343,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:25.344,-0.214,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:26.344,-0.220,0.049,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:27.345,-0.231,0.044,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 16:01:28.347,-0.236,0.044,-149.00,0.00,-1.00,-1,-1,0.00
