Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_mm,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-05-20 18:45:52.395,0.709,-0.577,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-20 18:45:53.399,0.709,-0.571,0.00,600.0,6.00,-1,-1,-600.0,2.50,0.00
2026-05-20 18:45:54.401,0.709,-0.577,0.00,600.0,6.00,-1,-1,-600.0,2.50,0.00
2026-05-20 18:45:55.402,0.714,-0.566,0.00,600.0,6.00,-1,-1,-600.0,2.50,0.00
2026-05-20 18:45:56.402,0.714,-0.566,0.00,600.0,6.00,-1,-1,-600.0,2.50,0.00
2026-05-20 18:45:57.403,0.714,-0.577,0.00,600.0,6.00,-1,-1,-600.0,2.50,0.00
2026-05-20 18:45:58.406,0.714,-0.582,0.00,600.0,6.00,-1,-1,-600.0,2.50,0.00
2026-05-20 18:45:59.407,0.714,-0.588,0.00,600.0,6.00,-1,-1,-600.0,2.50,0.00
2026-05-20 18:46:00.408,0.714,-0.593,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-20 18:46:01.409,0.714,-0.593,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-20 18:46:02.411,0.714,-0.593,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-20 18:46:03.412,0.714,-0.593,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-20 18:46:04.413,0.714,-0.593,0.00,0.0,6.00,-1,-1,0.0,2.50,0.00
2026-05-20 18:46:05.415,0.720,-0.593,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:06.416,0.720,-0.593,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:07.417,0.714,-0.593,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:08.418,0.720,-0.593,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:09.419,0.714,-0.588,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:10.421,0.714,-0.599,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:11.422,0.714,-0.593,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:12.423,0.714,-0.599,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:13.423,0.714,-0.593,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:14.424,0.714,-0.588,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:15.424,0.714,-0.582,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:16.425,0.714,-0.577,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:17.426,0.714,-0.577,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:18.426,0.714,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:19.427,0.714,-0.577,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:20.427,0.714,-0.577,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:21.428,0.714,-0.577,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:22.429,0.720,-0.577,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:23.430,0.714,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:24.431,0.720,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:25.433,0.714,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:26.434,0.714,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:27.434,0.714,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:28.434,0.714,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:29.435,0.714,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:30.436,0.714,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:31.437,0.714,-0.571,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:32.439,0.714,-0.577,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:33.439,0.714,-0.577,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:34.441,0.714,-0.582,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:35.441,0.714,-0.582,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:36.442,0.714,-0.588,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:37.443,0.714,-0.588,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:38.444,0.714,-0.588,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:39.446,0.714,-0.588,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:40.446,0.714,-0.588,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:41.447,0.714,-0.588,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:42.448,0.714,-0.593,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
2026-05-20 18:46:43.449,0.714,-0.593,0.00,0.1,6.00,-1,-1,-0.1,2.50,0.00
